,Aerospin,AtmosFear,Balder,Barnens paradis,Blomsterkarusellen,Bushållplatsen,Cyklonen,Drakbåtarna,Farfars Bil,Fisketuren,FlumeRide,Flygande elefanter,Flygis,Hanghai,Helix,Hissningen,Hoppalång,Högspänningen,JukeBox,Kaffekoppen,Kaninlandsbanan,Kaninresan,Kristallsalongen,Kållerado,Lilla Lots,Lisebergbanan,Lisebergshjulet,Loke,Mechanica,Rabalder,Radiobilarna,Skepp o skoj,Slänggungan,Spökhotellet Gasten,Stampbanan,Tuta & Kör,Uppswinget,Valkyria,Virvelvinden
2019-08-30 16:50:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 16:55:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 17:00:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 17:05:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 17:10:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 17:15:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 17:20:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,30.0,10.0
2019-08-30 17:25:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,30.0,10.0
2019-08-30 17:30:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,30.0,10.0
2019-08-30 17:35:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,30.0,10.0
2019-08-30 17:40:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 17:45:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,20.0,10.0
2019-08-30 17:50:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0
2019-08-30 17:55:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,60.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0
2019-08-30 18:00:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:05:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:10:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:15:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:20:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:25:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:30:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:35:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:40:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:45:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:50:05,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 18:55:04,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:00:04,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:05:04,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:10:05,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
